Код региона,Название региона,Тип региона,Кол-во людей,Поступило,Очное - Основные места,Средний,Очное - Целевая квота,Средний,Очное - Особая квота,Средний,Очное - Специальная квота,Средний,Очное - ДОУ,Средний,Заочное - Основные места,Средний,Заочное - Целевая квота,Средний,Заочное - Особая квота,Средний,Заочное - Специальная квота,Средний,Заочное - ДОУ,Средний,Очно-заочное - Основные места,Средний,Очно-заочное - Целевая квота,Средний,Очно-заочное - Особая квота,Средний,Очно-заочное - Специальная квота,Средний,Очно-заочное - ДОУ,Средний
1,Приморский,край,55,9,5,220.4,0,0,0,0,0,0,2,202.5,1,206,0,0,0,0,0,0,1,268,0,0,0,0,0,0,0,0,0,0
2,Архангельская,обл,152,31,22,207.71,3,202,0,0,0,0,3,173,0,0,0,0,0,0,0,0,1,180,1,0,0,0,0,0,0,0,1,185
3,Ростовская,обл,61,18,12,225.38,2,215,1,192,0,0,2,199.5,0,0,0,0,0,0,0,0,1,142,0,0,0,0,0,0,0,0,0,0
4,Тамбовская,обл,14,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,215,0,0,0,0,0,0,0,0,0,0
5,Ненецкий,АО,6,3,2,202,0,0,0,0,0,0,1,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Карелия,Респ,67,12,7,223.17,1,180,0,0,0,0,2,193,0,0,0,0,0,0,0,0,1,196,1,0,0,0,0,0,0,0,0,0
7,Чеченская,Респ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Вологодская,обл,99,16,12,209.55,0,0,1,200,0,0,1,186,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9,Бурятия,Респ,29,10,6,221.8,0,0,0,0,1,205,2,175,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Сахалинская,обл,20,7,4,250,0,0,0,0,0,0,2,172.5,0,0,0,0,0,0,0,0,1,202,0,0,0,0,0,0,0,0,0,0
11,Амурская,обл,16,5,1,223,0,0,0,0,0,0,1,209,1,260,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
12,Чукотский,АО,8,5,2,249.5,0,0,0,0,0,0,3,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Курская,обл,25,7,6,198,0,0,0,0,0,0,0,0,1,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Владимирская,обл,25,8,4,228.5,3,186.67,0,0,0,0,1,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Новосибирская,обл,34,10,7,227.67,0,0,0,0,0,0,2,217,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Тульская,обл,30,6,3,212.67,0,0,0,0,0,0,1,265,0,0,0,0,0,0,0,0,2,198,0,0,0,0,0,0,0,0,0,0
17,Ханты-Мансийский автономный округ - Югра,АО,89,18,11,229.8,0,0,1,184,0,0,5,203.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Калужская,обл,18,1,0,0,0,0,0,0,0,0,1,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Алтай,Респ,2,1,1,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Астраханская,обл,33,7,4,186.5,0,0,0,0,0,0,2,200.5,1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Камчатский,край,20,7,3,211.33,1,219,0,0,0,0,3,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Адыгея,Респ,13,2,2,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Кабардино-Балкарская,Респ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Чувашская Республика - Чувашия,,31,3,3,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Башкортостан,Респ,92,19,13,223.3,0,0,0,0,0,0,4,200.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,188
26,Белгородская,обл,64,13,10,211.22,0,0,0,0,0,0,1,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170
27,Еврейская,Аобл,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Орловская,обл,32,7,5,197,0,0,1,220,0,0,0,0,0,0,0,0,0,0,0,0,1,137,0,0,0,0,0,0,0,0,0,0
29,Курганская,обл,11,1,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Ивановская,обл,27,10,9,207.89,0,0,1,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Забайкальский край Агинский Бурятский,округ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Коми,Респ,86,28,15,228.1,1,162,0,0,0,0,7,201.83,1,0,0,0,0,0,0,0,3,136,1,167,0,0,0,0,0,0,0,0
33,Магаданская,обл,8,4,0,0,0,0,0,0,0,0,3,207.33,1,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Мурманская,обл,173,34,17,216.64,0,0,0,0,1,246,10,204.56,3,197,0,0,0,0,0,0,2,195,1,0,0,0,0,0,0,0,0,0
35,Севастополь,г,20,4,3,179,1,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Брянская,обл,55,13,10,211.1,0,0,0,0,0,0,2,214.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,Воронежская,обл,33,5,3,197,1,216,0,0,0,0,0,0,1,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
